learning_rate,gamma,batch_size,epsilon_start,epsilon_end,exploration_fraction,avg_reward,std_reward,min_reward,max_reward,avg_episode_length,total_eval_episodes,training_time_seconds,total_timesteps,policy_type,hyperparameter_set_name,experiment_name,timestamp
0.0001,0.99,32,1.0,0.05,0.1,-12970.0,3251.1690205216955,-18300.0,-8200.0,738.0,10,257.901907,100000,CNN,baseline,exp_20260321T122512,2026-03-21T12:29:48.885136
0.0001,0.99,32,1.0,0.05,0.1,-12970.0,3251.1690205216955,-18300.0,-8200.0,738.0,10,235.858771,100000,CNN,baseline,exp_20260322T162453,2026-03-22T16:29:09.770546
0.0001,0.99,32,1.0,0.05,0.1,-12970.0,3251.1690205216955,-18300.0,-8200.0,738.0,10,271.425438,100000,CNN,baseline,exp_20260322T163130,2026-03-22T16:36:21.458198
0.0001,0.95,32,1.0,0.05,0.1,-22780.0,4956.167874477215,-30700.0,-11900.0,738.0,10,253.022626,100000,CNN,baseline,patrick_exp01,2026-03-22T16:15:39.112697
0.0005,0.97,64,0.9,0.1,0.2,-10470.0,5557.886288869177,-16700.0,3500.0,738.0,10,284.25905,100000,CNN,baseline,patrick_exp02,2026-03-22T15:16:30.184757
0.001,0.99,128,1.0,0.0,0.05,-9670.0,5060.642251730505,-19700.0,-1500.0,738.0,10,315.416031,100000,CNN,baseline,patrick_exp03,2026-03-22T15:24:21.199118
0.0005,0.9,32,0.8,0.05,0.1,-22070.0,7157.799941322753,-32900.0,-10400.0,738.0,10,229.752258,100000,CNN,baseline,patrick_exp04,2026-03-22T15:28:57.585723
0.0001,0.99,64,1.0,0.2,0.2,-13750.0,6632.83498965563,-27300.0,-6900.0,738.0,10,261.740648,100000,CNN,baseline,patrick_exp05,2026-03-22T15:34:06.594519
0.001,0.92,128,0.9,0.05,0.05,-9250.0,1816.727827716634,-11600.0,-5100.0,738.0,10,354.443065,100000,CNN,baseline,patrick_exp06,2026-03-22T15:42:46.345504
0.00075,0.95,32,1.0,0.0,0.1,-10520.0,6801.882092479992,-21000.0,-1200.0,738.0,10,251.495012,100000,CNN,baseline,patrick_exp07,2026-03-22T15:47:51.110731
0.0005,0.97,64,0.8,0.05,0.2,-7850.0,2584.279396659734,-12100.0,-4800.0,738.0,10,283.552907,100000,CNN,baseline,patrick_exp08,2026-03-22T15:56:28.047460
0.001,0.99,128,1.0,0.1,0.05,-14760.0,7014.014542328808,-27900.0,-5600.0,738.0,10,365.707491,100000,CNN,baseline,patrick_exp09,2026-03-22T16:04:47.163138
0.00025,0.93,64,0.9,0.2,0.1,-18070.0,7629.8165115551765,-36700.0,-11400.0,738.0,10,302.223381,100000,CNN,baseline,patrick_exp10,2026-03-22T16:10:36.810942
